Year,Month,Day,Hour,Demand,Price,Weekday
2017,7,6,3,702.0657533096002,19.15,1
2017,7,6,4,498.5834462795,19.369999,1
2017,7,6,5,309.01444442755,21.56,1
2017,7,6,6,211.41271872608,22.01,1
2017,7,6,7,123.304771754699,22.93,1
2017,7,6,8,116.39299420263,24.25,1
2017,7,6,9,115.87058683134,25.4,1
2017,7,6,10,127.965818805,29.790001,1
2017,7,6,11,167.93027930964,29.19,1
2017,7,6,12,227.15817477031,31.67,1
2017,7,6,13,206.96204473597996,37.03,1
2017,7,6,14,182.557745190218,58.91,1
2017,7,6,15,199.57970209126,93.48,1
2017,7,6,16,296.16740777189,34.92,1
2017,7,6,17,412.3629596947301,36.96,1
2017,7,6,18,535.40814475733,41.679999,1
2017,7,6,19,648.64819866823,36.61,1
2017,7,6,20,746.0204359078299,28.570001,1
2017,7,6,21,767.82332945114,29.99,1
2017,7,6,22,900.47559269093,24.44,1
2017,7,6,23,895.9002064160899,22.360001,1
2017,7,7,0,876.7611216846999,20.13,1
2017,7,7,1,866.818242784,20.42,1
2017,7,7,2,835.7164905576001,18.98,1
2017,7,7,3,646.3766527767999,18.489999,1
2017,7,7,4,455.1807597346,18.12,1
2017,7,7,5,292.07390389047004,20.71,1
2017,7,7,6,192.21252760098,21.45,1
2017,7,7,7,134.97548150754,22.53,1
2017,7,7,8,116.39299420263,22.809999,1
2017,7,7,9,115.87058683134,25.72,1
2017,7,7,10,127.965818805,27.37,1
2017,7,7,11,167.93027930964,44.27,1
2017,7,7,12,227.15817477031,29.55,1
2017,7,7,13,206.96204473597996,30.819999,1
2017,7,7,14,179.8540611447,30.450001,1
2017,7,7,15,179.05748191193,33.09,1
2017,7,7,16,238.80625818325,39.88,1
2017,7,7,17,300.27775589323005,42.73,1
2017,7,7,18,419.5976904101301,31.42,1
2017,7,7,19,391.52399059913,27.66,1
2017,7,7,20,470.54322304773007,26.86,1
2017,7,7,21,665.97012115234,25.56,1
2017,7,7,22,822.1249702549298,22.41,1
2017,7,7,23,865.0327360378899,19.61,1
2017,7,8,0,853.8601279788999,19.789999,0
2017,7,8,1,833.9199459539998,19.01,0
2017,7,8,2,800.6697517311001,17.92,0
2017,7,8,3,631.750150257,16.89,0
2017,7,8,4,426.4380812633001,16.48,0
2017,7,8,5,243.92669232395,16.27,0
2017,7,8,6,157.61063035586,16.42,0
2017,7,8,7,119.25150812544,18.81,0
2017,7,8,8,116.39299420263,20.949999,0
2017,7,8,9,115.87058683134,22.12,0
2017,7,8,10,127.965818805,25.35,0
2017,7,8,11,167.93027930964,26.44,0
2017,7,8,12,227.15817477031,26.86,0
2017,7,8,13,206.96204473597996,30.54,0
2017,7,8,14,179.8540611447,29.97,0
2017,7,8,15,188.871461864296,30.46,0
2017,7,8,16,312.06006519093006,58.93,0
2017,7,8,17,417.49880596893007,37.830001,0
2017,7,8,18,527.24620216833,47.29,0
2017,7,8,19,654.0501447548301,37.58,0
2017,7,8,20,715.1354705384301,24.33,0
2017,7,8,21,771.66360929454,24.47,0
2017,7,8,22,948.14312237133,22.21,0
2017,7,8,23,909.52935330869,20.49,0
2017,7,9,0,914.6494502257,20.95,0
2017,7,9,1,885.4711053988,19.67,0
2017,7,9,2,831.9533785651,18.2,0
2017,7,9,3,637.6023248566,17.64,0
2017,7,9,4,440.5211097832,15.28,0
2017,7,9,5,274.87060387273,13.84,0
2017,7,9,6,167.68921078587996,12.31,0
2017,7,9,7,119.25150812544,17.37,0
2017,7,9,8,116.39299420263,17.1,0
2017,7,9,9,115.87058683134,20.64,0
2017,7,9,10,127.965818805,20.66,0
2017,7,9,11,167.93027930964,22.09,0
2017,7,9,12,227.15817477031,23.489999,0
2017,7,9,13,206.96204473597996,25.67,0
2017,7,9,14,196.58972189135,26.53,0
2017,7,9,15,296.40702050829003,28.2,0
2017,7,9,16,420.76254828273,29.880001,0
2017,7,9,17,538.21215610483,36.03,0
2017,7,9,18,712.53222363893,30.08,0
2017,7,9,19,801.81702913123,28.48,0
2017,7,9,20,862.6321219268299,25.17,0
2017,7,9,21,1025.84661327454,24.63,0
2017,7,9,22,1080.95109387353,21.83,0
2017,7,9,23,988.8644429498898,18.46,0
2017,7,10,0,938.0622416571,16.81,1
2017,7,10,1,899.1553101829999,15.14,1
2017,7,10,2,845.3135872713998,14.37,1
2017,7,10,3,666.3354818671002,13.719999,1
2017,7,10,4,475.8396967312,14.23,1
2017,7,10,5,311.39691772021,17.02,1
2017,7,10,6,168.71436233084998,16.71,1
2017,7,10,7,116.32476725226,18.78,1
2017,7,10,8,114.83381036502,19.17,1
2017,7,10,9,112.94761816285,22.480001,1
2017,7,10,10,123.28776587091,25.01,1
2017,7,10,11,156.03356158214,25.309999,1
2017,7,10,12,203.85767197951,27.99,1
2017,7,10,13,170.81851890317998,30.39,1
2017,7,10,14,130.29086512290002,31.5,1
2017,7,10,15,132.075948057232,48.66,1
2017,7,10,16,231.37181785741,46.91,1
2017,7,10,17,346.37185467913,111.63,1
2017,7,10,18,463.3604780336301,52.61,1
2017,7,10,19,574.68817584563,34.99,1
2017,7,10,20,702.40057816593,36.41,1
