Year,Month,Day,Hour,Demand,Tariff,Weekday
2017,7,7,5,292.0739039,20.71,1
2017,7,7,6,192.2125276,21.45,1
2017,7,7,7,134.9754815,22.53,1
2017,7,7,8,116.3929942,22.809999,1
2017,7,7,9,115.8705868,25.72,1
2017,7,7,10,127.9658188,27.37,1
2017,7,7,11,167.9302793,44.27,1
2017,7,7,12,227.1581748,29.55,1
2017,7,7,13,206.9620447,30.819999,1
2017,7,7,14,179.8540611,30.450001,1
2017,7,7,15,179.0574819,33.09,1
2017,7,7,16,238.8062582,39.88,1
2017,7,7,17,300.2777559,42.73,1
2017,7,7,18,419.5976904,31.42,1
2017,7,7,19,391.5239906,27.66,1
2017,7,7,20,470.543223,26.86,1
2017,7,7,21,665.9701212,25.56,1
2017,7,7,22,822.1249703,22.41,1
2017,7,7,23,865.032736,19.61,1
2017,7,8,0,853.860128,19.789999,0
2017,7,8,1,833.919946,19.01,0
2017,7,8,2,800.6697517,17.92,0
2017,7,8,3,631.7501503,16.89,0
2017,7,8,4,426.4380813,16.48,0
2017,7,8,5,243.9266923,16.27,0
2017,7,8,6,157.6106304,16.42,0
2017,7,8,7,119.2515081,18.81,0
2017,7,8,8,116.3929942,20.949999,0
2017,7,8,9,115.8705868,22.12,0
2017,7,8,10,127.9658188,25.35,0
2017,7,8,11,167.9302793,26.44,0
2017,7,8,12,227.1581748,26.86,0
2017,7,8,13,206.9620447,30.54,0
2017,7,8,14,179.8540611,29.97,0
2017,7,8,15,188.8714619,30.46,0
2017,7,8,16,312.0600652,58.93,0
2017,7,8,17,417.498806,37.830001,0
2017,7,8,18,527.2462022,47.29,0
2017,7,8,19,654.0501448,37.58,0
2017,7,8,20,715.1354705,24.33,0
2017,7,8,21,771.6636093,24.47,0
2017,7,8,22,948.1431224,22.21,0
2017,7,8,23,909.5293533,20.49,0
2017,7,9,0,914.6494502,20.95,0
2017,7,9,1,885.4711054,19.67,0
2017,7,9,2,831.9533786,18.2,0
2017,7,9,3,637.6023249,17.64,0
2017,7,9,4,440.5211098,15.28,0
2017,7,9,5,274.8706039,13.84,0
2017,7,9,6,167.6892108,12.31,0
2017,7,9,7,119.2515081,17.37,0
2017,7,9,8,116.3929942,17.1,0
2017,7,9,9,115.8705868,20.64,0
2017,7,9,10,127.9658188,20.66,0
2017,7,9,11,167.9302793,22.09,0
2017,7,9,12,227.1581748,23.489999,0
2017,7,9,13,206.9620447,25.67,0
2017,7,9,14,196.5897219,26.53,0
2017,7,9,15,296.4070205,28.2,0
2017,7,9,16,420.7625483,29.880001,0
2017,7,9,17,538.2121561,36.03,0
2017,7,9,18,712.5322236,30.08,0
2017,7,9,19,801.8170291,28.48,0
2017,7,9,20,862.6321219,25.17,0
2017,7,9,21,1025.846613,24.63,0
2017,7,9,22,1080.951094,21.83,0
2017,7,9,23,988.8644429,18.46,0
2017,7,10,0,938.0622417,16.81,1
2017,7,10,1,899.1553102,15.14,1
2017,7,10,2,845.3135873,14.37,1
2017,7,10,3,666.3354819,13.719999,1
2017,7,10,4,475.8396967,14.23,1
2017,7,10,5,311.3969177,17.02,1
2017,7,10,6,168.7143623,16.71,1
2017,7,10,7,116.3247673,18.78,1
2017,7,10,8,114.8338104,19.17,1
2017,7,10,9,112.9476182,22.480001,1
2017,7,10,10,123.2877659,25.01,1
2017,7,10,11,156.0335616,25.309999,1
2017,7,10,12,203.857672,27.99,1
2017,7,10,13,170.8185189,30.39,1
2017,7,10,14,130.2908651,31.5,1
2017,7,10,15,132.0759481,48.66,1
2017,7,10,16,231.3718179,46.91,1
2017,7,10,17,346.3718547,111.63,1
2017,7,10,18,463.360478,52.61,1
2017,7,10,19,574.6881758,34.99,1
2017,7,10,20,702.4005782,36.41,1
2017,7,10,21,748.1606923,29.73,1
2017,7,10,22,801.3894058,25.64,1
2017,7,10,23,814.7415154,22.5,1
2017,7,11,0,757.5142916,19.95,1
2017,7,11,1,757.4819958,20.32,1
2017,7,11,2,753.8061201,19.22,1
2017,7,11,3,585.2316424,18.6,1
2017,7,11,4,421.9742523,18.71,1
2017,7,11,5,277.178517,20.37,1
2017,7,11,6,180.8894915,21.31,1
2017,7,11,7,116.3247673,23.36,1
2017,7,11,8,114.8338104,25.6,1
2017,7,11,9,112.9476182,26.17,1
2017,7,11,10,123.2877659,27.14,1
2017,7,11,11,156.0335616,29.54,1
2017,7,11,12,203.857672,32.7,1
2017,7,11,13,170.8185189,31.68,1
2017,7,11,14,130.2908651,38.02,1
2017,7,11,15,123.6804847,41.51,1
2017,7,11,16,125.7292226,40.46,1
2017,7,11,17,187.6941116,35.560001,1
2017,7,11,18,325.3377516,36.89,1
2017,7,11,19,488.2226544,31.83,1
2017,7,11,20,609.7590225,30.28,1
2017,7,11,21,725.7980451,31.06,1
2017,7,11,22,852.4061691,26.009999,1
2017,7,11,23,864.3255726,24.3,1
2017,7,12,0,840.1185631,22.92,1
2017,7,12,1,842.1127423,20.95,1
2017,7,12,2,842.5958715,18.999999,1
2017,7,12,3,666.8782951,18.58,1
2017,7,12,4,529.4288236,19.17,1
2017,7,12,5,388.6956945,20.95,1
2017,7,12,6,314.7258654,22.49,1
2017,7,12,7,254.7010817,22.409999,1
2017,7,12,8,228.0330322,23.289999,1
2017,7,12,9,189.412758,24.91,1
2017,7,12,10,187.6110945,26.86,1
2017,7,12,11,210.2228458,27.8,1
2017,7,12,12,286.0846643,28.64,1
2017,7,12,13,294.6697798,29.84,1
2017,7,12,14,392.3754384,33.24,1
2017,7,12,15,568.9099184,33.77,1
2017,7,12,16,625.7930442,38.73,1
2017,7,12,17,781.0552319,44.1,1
2017,7,12,18,935.037399,39.86,1
2017,7,12,19,995.9582787,40.39,1
2017,7,12,20,1027.473362,39.7,1
2017,7,12,21,1099.072258,41.52,1
2017,7,12,22,1142.161006,28.96,1
2017,7,12,23,1192.510405,25.62,1
2017,7,13,0,1126.912959,22.69,1
2017,7,13,1,1052.725839,22.72,1
2017,7,13,2,998.5908103,21.53,1
2017,7,13,3,785.25671,20.18,1
2017,7,13,4,595.2202616,20.24,1
2017,7,13,5,411.6620519,21.78,1
2017,7,13,6,301.1480623,23.34,1
2017,7,13,7,236.0847413,25.82,1
2017,7,13,8,198.8161826,26.92,1
2017,7,13,9,163.1521217,29.670001,1
2017,7,13,10,150.9757642,32,1
2017,7,13,11,156.0335616,50.56,1
2017,7,13,12,203.857672,38.6,1
2017,7,13,13,242.0464976,43.39,1
2017,7,13,14,315.3471065,54.190001,1
2017,7,13,15,534.5361782,38.21,1
2017,7,13,16,597.7782783,42.68,1
2017,7,13,17,739.2192424,37.69,1
2017,7,13,18,881.7285143,39.88,1
2017,7,13,19,1054.452779,41.62,1
2017,7,13,20,1167.241775,37.04,1
2017,7,13,21,1244.536755,32.45,1
2017,7,13,22,1365.805507,27.289999,1
2017,7,13,23,1244.900442,24.38,1
2017,7,14,0,1145.54614,22.84,1
2017,7,14,1,1088.545091,22.1,1
2017,7,14,2,985.8052542,21.33,1
2017,7,14,3,753.7619578,19.77,1
2017,7,14,4,581.4311459,20.61,1
2017,7,14,5,411.515373,22.05,1
2017,7,14,6,298.1271964,22.86,1
2017,7,14,7,234.4069778,24.769999,1
2017,7,14,8,196.9561835,26.309999,1
2017,7,14,9,150.9263009,28.19,1
2017,7,14,10,144.783003,33.59,1
2017,7,14,11,156.0335616,33.890001,1
2017,7,14,12,203.857672,49.129999,1
2017,7,14,13,233.2869172,38.89,1
2017,7,14,14,337.49884,37.64,1
2017,7,14,15,546.4529368,58.98,1
2017,7,14,16,654.2770792,30.53,1
2017,7,14,17,887.4358004,30.6,1
2017,7,14,18,969.6210071,33.62,1
2017,7,14,19,1083.033349,27.16,1
2017,7,14,20,932.632576,26.910001,1
2017,7,14,21,1146.603744,27.12,1
2017,7,14,22,1278.28638,24.12,1
2017,7,14,23,1249.230179,20.23,1
2017,7,15,0,1138.178979,21.21,0
2017,7,15,1,1033.513059,21.29,0
2017,7,15,2,955.4734252,18.77,0
2017,7,15,3,767.5293668,18.32,0
2017,7,15,4,577.393679,17.85,0
2017,7,15,5,390.6646793,17.99,0
2017,7,15,6,292.7250515,16.79,0
2017,7,15,7,230.2773159,17.900001,0
2017,7,15,8,196.6989731,20.82,0
2017,7,15,9,182.5745077,22.18,0
2017,7,15,10,167.4372082,24.86,0
2017,7,15,11,224.7013663,27.97,0
2017,7,15,12,261.774789,29.28,0
2017,7,15,13,241.2800671,30.27,0
2017,7,15,14,242.8403732,29.2,0
2017,7,15,15,324.2439359,31.43,0
2017,7,15,16,449.1123169,30.89,0
2017,7,15,17,609.555526,61.45,0
2017,7,15,18,687.5691706,31.11,0
2017,7,15,19,841.6917737,29.93,0
2017,7,15,20,927.6350687,26.17,0
2017,7,15,21,991.8128749,26.81,0
2017,7,15,22,1121.154058,23.43,0
2017,7,15,23,1074.24677,20.01,0
2017,7,16,0,983.9729483,19.49,0
2017,7,16,1,914.2673013,20.77,0
2017,7,16,2,835.7863036,16.9,0
2017,7,16,3,632.9626096,17.07,0
2017,7,16,4,449.4644478,16.81,0
2017,7,16,5,289.624641,11.38,0
2017,7,16,6,180.8557087,5.54,0
2017,7,16,7,116.3247673,16.01,0
2017,7,16,8,114.8338104,18.950001,0
2017,7,16,9,112.9476182,20.94,0
2017,7,16,10,123.2877659,22.21,0
2017,7,16,11,156.0335616,24.84,0
2017,7,16,12,203.857672,27.6,0
2017,7,16,13,170.8185189,31.66,0
2017,7,16,14,130.2908651,34.62,0
2017,7,16,15,131.9469432,40.01,0
2017,7,16,16,235.9897703,45.31,0
2017,7,16,17,371.264897,61.53,0
2017,7,16,18,514.7598589,38.13,0
2017,7,16,19,614.8442041,44.91,0
2017,7,16,20,756.0516577,28.75,0
2017,7,16,21,887.6696119,28.99,0
2017,7,16,22,999.5280329,25.2,0
2017,7,16,23,955.2451697,21.1,0
2017,7,17,0,895.7270291,21.64,1
2017,7,17,1,840.1210576,21.51,1
2017,7,17,2,745.5565146,20.65,1
2017,7,17,3,549.0545256,19.38,1
2017,7,17,4,365.0600937,19.26,1
2017,7,17,5,181.4640832,20.28,1
2017,7,17,6,135.7389206,20.75,1
2017,7,17,7,119.8607971,23.53,1
2017,7,17,8,116.7115885,25.59,1
2017,7,17,9,116.4938565,34.02,1
2017,7,17,10,128.9217137,40.03,1
2017,7,17,11,170.4095655,36.32,1
2017,7,17,12,232.0958259,57.3,1
2017,7,17,13,214.5307482,38.08,1
2017,7,17,14,190.3613081,51.59,1
2017,7,17,15,190.9379354,60.93,1
2017,7,17,16,276.2641373,52.71,1
2017,7,17,17,424.1425091,69.55,1
2017,7,17,18,541.4765871,44.32,1
2017,7,17,19,686.5113006,40.389999,1
2017,7,17,20,807.7180009,43.9,1
2017,7,17,21,996.6604798,36.63,1
2017,7,17,22,1123.501466,25.92,1
2017,7,17,23,1117.064094,23.31,1
2017,7,18,0,1032.335693,21.69,1
2017,7,18,1,957.9496831,20.56,1
2017,7,18,2,906.8086623,19.13,1
2017,7,18,3,696.0392801,18.33,1
2017,7,18,4,472.7782485,18.61,1
2017,7,18,5,295.4786512,20.89,1
2017,7,18,6,198.4217556,21.259999,1
2017,7,18,7,119.8607971,22.7,1
2017,7,18,8,116.7115885,25.05,1
2017,7,18,9,116.4938565,28.25,1
2017,7,18,10,128.9217137,29.71,1
2017,7,18,11,170.4095655,37.56,1
2017,7,18,12,232.0958259,35.67,1
2017,7,18,13,214.5307482,38.670001,1
2017,7,18,14,190.3613081,51.189999,1
2017,7,18,15,329.9736697,93.52,1
2017,7,18,16,447.7014675,111.41,1
2017,7,18,17,598.7144707,101.03,1
2017,7,18,18,755.765466,67.58,1
2017,7,18,19,908.9622873,51.48,1
2017,7,18,20,1046.370409,46.09,1
2017,7,18,21,1186.391943,48.98,1
2017,7,18,22,1304.764278,30.98,1
2017,7,18,23,1242.729337,29.45,1
2017,7,19,0,1160.154388,25.57,1
2017,7,19,1,1056.097405,23.87,1
2017,7,19,2,957.2327321,22.24,1
2017,7,19,3,737.9619932,21.23,1
2017,7,19,4,527.0000589,21.42,1
2017,7,19,5,361.8399208,22.4,1
2017,7,19,6,263.3630907,24.1,1
2017,7,19,7,167.7886327,25.33,1
2017,7,19,8,131.184925,32.22,1
2017,7,19,9,115.8705868,33.62,1
2017,7,19,10,127.9658188,36.85,1
2017,7,19,11,167.9302793,41.369999,1
2017,7,19,12,242.1154933,51.81,1
2017,7,19,13,259.8595417,52.25,1
2017,7,19,14,329.4787619,63.42,1
2017,7,19,15,500.4103703,115.62,1
2017,7,19,16,692.8255705,156.65,1
2017,7,19,17,897.5639586,59.21,1
2017,7,19,18,1059.368618,69.51,1
2017,7,19,19,1159.030875,70.86,1
2017,7,19,20,1328.885331,59.25,1
2017,7,19,21,1397.894933,70.19,1
2017,7,19,22,1499.930876,34.32,1
2017,7,19,23,1486.261195,29.75,1
2017,7,20,0,1402.034421,26.75,1
2017,7,20,1,1286.687474,22.83,1
